requested_n_ribs,effective_n_ribs,th_front,th_back,xf,zf,phi_ribs,th_ribs,winding_number,area_factor,normed_fx,normed_fz,reward,E_front,E_back
3,3,0.0024276706377828624,0.003515641000399051,0.016262137143458144,0.02289248319950654,[ 13.15228107  39.51969821 -22.87481418],[0.0023774  0.00215481 0.0025727 ],0.2561443409784379,0.3452287993934863,0.4013095115064705,0.001478980101464189,-1.0012036717769304,0.03070205799590809,0.04281580790208244
3,3,0.002512528734400732,0.004265120739452173,0.03585942257301322,0.035533282133368704,[15.36951352 20.7471877   6.05568489],[0.00228225 0.0021605  0.00240506],0.2486954117340894,0.21109968120299605,0.34192536021113734,0.10494477257597046,-0.6967756805722523,0.028923534008590567,0.07708027196605843
3,3,0.0023143061472305896,0.0034047957825511167,0.13165631537585165,0.0031721075624950856,[26.0787305   0.53676158 17.78173256],[0.002323   0.0029788  0.00262963],0.2500171498357304,0.25867514446067436,0.21608639129796026,0.0525283530691462,-0.6722503325252188,0.024518674293776656,0.04226479883809904
3,3,0.0023883601791362895,0.004552374838319773,0.014591043283586735,0.008342704684461077,[54.6010458   9.31145349 29.59204983],[0.00234427 0.00265228 0.00252544],0.26072167142211083,0.6886061314452883,0.7475959871570359,0.6583599281532068,-1.038563861871228,0.02879970131703852,0.06546553458529905
3,3,0.0021503938139259484,0.00485769768813242,0.05262963708853652,-0.008721836898990865,[11.8082011  47.81334253 41.34530554],[0.00234727 0.0024036  0.0024669 ],0.2554708253362833,0.4679762218985401,0.5444904908875252,0.2279905711596873,-1.0399469669626613,0.020676281862166926,0.08910962202055928
3,3,0.0021847457315057298,0.004299424785891815,0.015953539563344554,0.04960531087363407,[-42.3815557   44.61145478  33.37103697],[0.00251685 0.00267879 0.00256562],0.25145625346552747,0.5011612995407243,0.4394321290363598,0.1401696454495059,-1.0518800365931058,0.01999428161569082,0.07258284828698808
3,3,0.002298493587932058,0.004401807373406279,0.05039798344240054,0.02609871007814779,[ 27.28170817  -2.81869388 -12.89890388],[0.00261638 0.00270308 0.00211321],0.24830838080579581,0.531378269846371,0.3836157142278479,0.462210865602165,-0.7010914992778499,0.02277891784997927,0.09336513762747496
3,3,0.0024964743439675773,0.004520464153730912,0.1840113732176114,-0.03133318194243795,[17.09363766 14.02883789 20.2090248 ],[0.00210588 0.00296672 0.00254446],0.2509809170377275,0.24932015460328424,0.4250395846924139,0.12046877814399573,-0.80487187818943,0.02991328009806062,0.08250339563787701
3,3,0.0029354268096791858,0.004292189313617014,0.008583917541950536,0.045365114086536096,[ 25.49198157  -1.38047853 -22.72074055],[0.00219265 0.00283704 0.00286811],0.241070213489183,0.14875087619646452,0.4273024533481685,0.2764532881087812,-0.5406702549250348,0.03823761660084681,0.102597133286121
3,3,0.002516228703778352,0.0049631220583850975,0.05545419160693732,0.04389138567752515,[ 15.44754079  -7.85446374 -19.74755242],[0.00232933 0.00239092 0.00285903],0.2421150439335934,0.24903447806167556,0.5861006599148668,0.9332382196964488,-0.14401196221368684,0.024238269089330706,0.1344597205982151
3,3,0.0020849474073225374,0.004632380196239692,0.037927312434573035,0.014478579522884782,[ 2.90011136 31.41877796 19.80628713],[0.00227379 0.0029558  0.00232472],0.2542142525611653,0.6499893848635094,0.46978639018052787,0.1354343412022012,-1.2385556864030014,0.018133293473480645,0.08519400490823335
